metric_id,label,domain,page,description,formula,aggregation,allowed_aggregations,unit,status,official_for_chatbot,realtime_live_query,execution_kind,executor,executor_compute_file,summary_field,registry_payload_path,registry_sample_size_path,registry_definition,registry_count_from_clients,supported_filters,sources_schema_table_column,sources_tables,sources_columns,aliases,limitations,page_hint,questions,legacy_ids_pointing_here,in_catalog,in_registry,notes_technical
average_days_to_cancellation,Tempo médio até o cancelamento,cancellations,Cancelamento,Média de dias entre contratação e data analítica de cancelamento (churn_efetivado_at ?? distrato_assinado_at ?? clients.data_churn | distrato Assinado).,avg(cancelamento - contratacao),,,days,,no,no,,,,,,,,no,,public.clients.data_inicio_ciclo|public.cancellations.churn_efetivado_at|public.cancellations.distrato_assinado_at,clients|cancellations|cancellations,data_inicio_ciclo|churn_efetivado_at|distrato_assinado_at,tempo medio ate o cancelamento|tempo médio até o cancelamento|media de dias ate cancelamento|média de dias até cancelamento,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#average_days_to_cancellation
cancellation_distrato_signed_without_date,Distrato textual assinado sem data,cancellations,Cancelamento,Registros com distrato textual 'Assinado' e distrato_assinado_at vazio. Contam como cancelamento efetivado sem data confirmada (fora do gráfico mensal).,distrato='Assinado' e distrato_assinado_at null,,,records,,no,no,,,,,,,,no,,public.cancellations.distrato|public.cancellations.distrato_assinado_at,cancellations|cancellations,distrato|distrato_assinado_at,quantos distratos aparecem como assinados sem data|distrato assinado sem data|distrato textual sem data,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#cancellation_distrato_signed_without_date
cancellation_intention_to_effective_rate,Conversão intenção → efetivado,cancellations,Cancelamento,Efetivados que tiveram intenção / intenções.,efetivados_com_intencao / intentionsRegistered,,,percent,,no,no,,,,,,,,no,,public.cancellations.intencao_registrada_at|public.cancellations.churn_efetivado_at|public.cancellations.distrato_assinado_at,cancellations|cancellations|cancellations,intencao_registrada_at|churn_efetivado_at|distrato_assinado_at,qual a conversao de intencao para cancelamento|conversão intenção para cancelamento|taxa intenção efetivado,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#cancellation_intention_to_effective_rate
cancellation_intention_to_order_rate,Conversão intenção → pedido,cancellations,Cancelamento,"Pedidos / intenções (clientes distintos, não arquivados).",ordersRegistered / intentionsRegistered,,,percent,,no,no,,,,,,,,no,,public.cancellations.intencao_registrada_at|public.cancellations.data_pedido,cancellations|cancellations,intencao_registrada_at|data_pedido,qual a conversao de intencao para pedido|conversão intenção para pedido|taxa intenção pedido,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#cancellation_intention_to_order_rate
cancellation_intentions,Intenções de cancelamento,cancellations,Cancelamento,Clientes distintos com intencao_registrada_at preenchido (não arquivados). Não retira da carteira ativa.,count(distinct client_id) com intencao_registrada_at,,,clients,,no,no,,,,,,,,no,,public.cancellations.intencao_registrada_at,cancellations,intencao_registrada_at,quantos clientes registraram intenção de cancelamento|intenções de cancelamento|intencoes de cancelamento|intenções registradas|sinalizações de cancelamento,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#cancellation_intentions
cancellation_orders,Pedidos de cancelamento,cancellations,Cancelamento,Clientes distintos com data_pedido preenchido (não arquivados). Não retira da carteira ativa.,count(distinct client_id) com data_pedido,,,clients,,no,no,,,,,,,,no,,public.cancellations.data_pedido,cancellations,data_pedido,quantos formalizaram pedido de cancelamento|pedidos de cancelamento|pedidos registrados|quantos pedidos de cancelamento,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#cancellation_orders
cancellation_passed_retention,Passaram por retenção,cancellations,Cancelamento,Clientes com passou_retencao=true (etapa do processo; não implica retido).,count distinct com passou_retencao,,,clients,,no,no,,,,,,,,no,,public.cancellations.passou_retencao,cancellations,passou_retencao,quantos passaram por retencao|quantos passaram por retenção|passou por retenção|casos em retenção,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#cancellation_passed_retention
cancellation_process_by_status,Clientes por etapa do processo de cancelamento,cancellations,Cancelamento,Distribuição de clientes em processo por cancellation_statuses.name. Processo/intenção/pedido não é cancelamento efetivado.,Distribuição de clientes em processo por cancellation_statuses.name. Processo/intenção/pedido não é cancelamento efetivado.,,,clients,,no,no,,,,,,,,no,,,,,quantos estao em cada etapa do processo|distribuicao por status do processo de cancelamento|etapas do processo de cancelamento,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#cancellation_process_by_status
cancellations_by_financial,Cancelamentos por questões financeiras,cancellations,Cancelamento,Cancelamentos classificados como Questões financeiras.,Cancelamentos classificados como Questões financeiras.,,,clients,,no,no,,,,,,,,no,,public.cancellations.motivo,cancellations,motivo,quantos cancelaram por questoes financeiras|quantos cancelaram por questões financeiras|cancelamentos por questoes financeiras|cancelamentos por questões financeiras|cancelamentos financeiros,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#cancellations_by_financial
cancellations_by_inactivity,Cancelamentos por inatividade,cancellations,Cancelamento,Cancelamentos classificados como Inatividade e falta de engajamento.,Cancelamentos classificados como Inatividade e falta de engajamento.,,,clients,,no,no,,,,,,,,no,,public.cancellations.motivo,cancellations,motivo,quantos cancelamentos foram por inatividade|cancelamentos por inatividade|cancelamentos por falta de engajamento|inatividade e falta de engajamento,Presente na V1 e ausente do CSV Dash Kids; não promovida na V2.,,,,yes,no,portal-metric-catalog.mjs#cancellations_by_inactivity
